Timestamp;Size;RAM;CPU;Duration
0;197;189;275;20259
253256;254;272;106;334034
122676;494;125;399;202717
477111;182;565;121;10136
231579;231;699;179;140329
500000;192;489;194;472210
205655;231;476;352;200
287444;343;634;378;130488
261376;371;343;289;200
335340;349;569;144;240824
500000;458;338;151;500200
0;207;379;303;200
355760;269;553;230;292716
236523;388;541;331;304915
419309;209;602;283;200
73183;176;122;161;500200
350079;466;429;233;200
361101;151;527;158;231069
271151;299;553;180;218951
0;431;334;118;158418
180470;281;610;275;500200
500000;182;320;274;179759
500000;238;462;259;98735
298160;375;231;328;325448
0;452;275;330;129082
217813;154;526;371;279857
334766;270;148;250;500200
500000;328;397;221;500200
0;313;136;389;500200
457349;325;413;237;434598
463333;362;266;120;278824
204042;387;674;339;168788
153049;352;670;102;90045
0;469;203;268;210323
0;377;584;210;500200
175800;431;562;380;418865
35531;249;421;317;200
112251;377;366;398;466900
121302;233;414;138;447250
487353;454;330;299;183238
0;152;152;195;500200
243753;208;299;218;200
343911;492;412;279;200
193935;386;557;109;200
199692;482;571;242;469736
176265;203;682;372;214001
0;334;257;340;500200
120643;365;390;272;472301
0;367;276;233;102681
0;431;484;128;451765
272705;416;506;315;200
500000;290;592;275;64430
7972;350;466;201;219913
455508;343;341;133;175497
114425;407;177;196;129384
462382;327;538;399;446963
98561;407;431;123;200
0;479;218;310;500200
282488;465;198;317;500200
0;465;485;172;460231
0;464;140;364;422246
374776;353;236;286;20061
321919;443;628;246;200
266816;399;251;398;500200
0;385;628;339;223988
500000;334;216;264;17765
318373;459;534;359;481343
210174;213;653;230;200
0;440;582;295;200
1795;324;319;242;434194
260009;226;342;113;200
500000;273;691;398;88827
228549;200;257;373;200
52052;413;501;111;258096
500000;333;402;264;186715
239620;315;207;210;500200
0;443;321;159;200
500000;313;577;137;200
500000;168;217;319;221905
354997;219;391;342;500200
500000;316;121;324;199013
106423;405;115;206;200
468537;414;265;342;354141
42558;195;127;201;487246
500000;308;287;354;394314
88901;251;494;119;200
204586;307;410;121;500200
478707;250;304;380;210621
337734;328;245;168;354664
216059;287;150;239;500200
500000;212;162;379;324045
0;304;456;117;457444
409962;280;215;272;461060
496660;497;245;285;14887
183453;373;445;112;364508
0;256;320;216;122096
129787;276;469;317;500200
467981;406;489;396;207725
427659;247;380;134;461809
204333;440;402;363;155118
170811;480;584;311;500200
408449;171;376;123;325324
167866;409;348;175;39704
120859;429;108;278;120655
212586;272;222;281;200
356328;426;609;332;161439
0;322;188;181;25541
294127;213;181;120;6182
0;487;250;214;286081
189717;277;506;325;500200
500000;156;349;168;457012
500000;354;503;145;216021
500000;415;598;368;43204
222965;167;549;187;401389
115953;357;321;210;454811
451485;233;579;264;500200
196586;188;485;387;333792
0;498;115;256;394620
468584;338;426;383;321280
254690;479;584;233;186295
15167;249;608;102;200
412691;202;672;137;236127
167749;153;104;367;200
0;248;584;316;123809
202832;301;455;327;117453
313563;368;439;388;169280
243878;382;556;319;181313
379746;292;172;232;448291
500000;247;649;246;500200
336389;165;242;175;200
350575;189;621;211;200
500000;348;153;201;85885
449127;397;566;371;267786
500000;175;659;152;500200
500000;460;245;137;200
431288;251;187;140;500200
418390;220;555;139;3867
216524;157;348;352;359228
0;338;295;394;348432
500000;235;370;247;321901
212756;364;211;140;379988
427380;220;286;361;200
290015;428;288;213;200
187429;223;689;239;437789
210933;442;173;108;367577
33452;236;678;323;200
500000;175;600;312;200
0;397;563;163;369915
0;496;638;328;464224
446492;265;635;202;369725
