Timestamp;Size;RAM;CPU;Duration
500000;456;423;250;200
228443;42;441;61;500200
454781;466;156;264;280149
96101;131;211;341;248419
235911;193;460;365;278389
217591;332;153;387;129555
244594;193;517;148;156730
40586;281;630;85;116871
466580;396;485;364;500200
500000;53;628;366;193829
500000;381;279;161;239718
279544;345;142;206;205738
165088;264;677;294;331937
203015;349;550;213;500200
0;434;466;249;205508
378375;333;253;114;500200
500000;180;509;393;361218
27705;480;569;204;200
303085;91;558;298;252026
334915;256;287;72;254964
500000;244;169;377;149007
285122;306;398;311;167647
272511;64;519;334;200
500000;132;360;123;151518
97298;265;608;235;500200
0;217;674;95;423955
392738;457;449;297;343266
224721;103;507;339;156846
0;108;259;81;158773
358214;104;544;80;102304
0;32;313;208;500200
48376;477;634;60;226803
384853;93;381;211;423360
135027;292;233;316;200
0;492;287;368;200
127131;95;303;214;128605
500000;259;256;158;97530
43337;363;123;66;240214
0;467;120;269;183161
353657;190;198;190;405147
271338;120;600;274;432290
344077;151;459;52;363097
198160;88;276;113;200
500000;90;370;346;424146
0;225;666;84;407847
439717;92;529;377;132776
0;376;101;246;316827
0;439;425;136;147340
439046;131;392;149;197943
211854;39;433;398;128796
0;231;194;112;277938
41572;437;172;244;138077
143739;158;155;63;354166
0;411;169;123;238916
208640;382;667;349;500200
500000;465;401;151;500200
95174;438;134;202;13652
304229;303;310;355;200
500000;110;637;147;446562
494923;330;109;136;396878
0;294;463;120;500200
0;406;335;69;500200
327010;328;304;141;392683
0;337;176;326;500200
228841;191;268;127;243570
194292;81;325;312;500200
0;263;285;287;3423
401621;280;89;249;363360
387244;304;450;385;200
0;137;369;254;270987
500000;448;364;334;500200
0;113;455;200;161781
377679;119;64;313;328052
0;357;541;247;500200
259661;393;84;262;61472
476508;482;148;333;500200
50040;190;302;150;500200
0;465;179;164;200
188729;82;512;202;326408
500000;226;555;261;232798
0;317;532;360;430107
253871;181;598;295;200
0;253;49;359;320870
0;496;458;292;162524
180063;106;665;335;435341
459791;79;321;394;500200
96469;480;511;172;200
388534;368;492;265;417175
458821;163;231;128;200
285115;382;166;199;188282
451590;164;566;171;200
143888;416;184;371;200
46041;483;481;123;62773
484386;285;458;274;470413
395518;147;141;370;500200
452566;46;251;234;373729
277564;354;195;66;323089
110587;461;364;222;500200
121185;208;67;332;200
105451;60;662;169;131236
177909;116;93;273;94297
249223;397;406;362;457027
90777;85;280;309;394762
201996;228;481;299;366446
388925;441;550;81;124315
204088;347;649;208;3197
111871;166;625;258;420178
342538;444;331;387;500200
130426;57;70;187;200
0;303;337;244;207101
293978;411;508;111;497652
500000;359;589;176;413362
406343;266;173;166;500200
12255;138;220;234;477659
500000;461;32;351;85405
360784;464;221;68;500200
496657;158;670;382;500200
227611;484;132;389;500200
160993;199;484;245;200
500000;30;107;193;290092
0;368;488;125;298361
500000;166;74;86;200
41503;163;426;94;223403
41913;493;595;85;461295
339450;215;539;51;120567
500000;462;637;55;395421
0;497;142;321;467065
9390;285;275;302;500200
171215;384;377;378;55849
183550;495;115;111;297003
125179;242;646;351;328590
500000;303;80;213;399676
327220;460;533;150;203340
288876;112;620;177;500200
408459;47;423;70;199686
500000;170;330;217;336732
220789;363;520;332;260152
500000;28;151;151;8302
76426;203;120;396;227375
500000;368;311;343;90166
500000;146;535;118;419004
172335;248;319;262;260201
208511;222;564;70;200
0;75;97;73;465086
500000;413;574;302;200
500000;348;139;359;64752
313292;369;631;272;500200
139372;442;441;373;87232
74868;274;679;237;144781
383657;452;512;143;200
