Timestamp;Size;RAM;CPU;Duration
329312;30;38;75;200
103067;82;36;54;152336
246193;22;49;79;500200
0;79;33;99;209636
437207;68;49;83;500200
500000;45;49;52;468197
322570;93;31;87;321817
130520;42;32;67;348385
92593;47;46;75;166431
0;91;48;87;491804
500000;27;37;99;100693
273258;31;46;50;17147
500000;71;32;87;181199
423453;66;37;74;179130
0;27;40;75;454505
242972;29;33;99;500200
338385;89;40;76;146048
46813;40;34;78;500200
94768;87;37;98;445954
0;27;35;92;121830
500000;29;41;91;409694
390159;59;33;63;200
500000;66;35;76;387621
174675;98;43;59;200
117555;44;45;59;316183
26607;74;47;52;67785
42942;35;47;70;4092
9618;24;41;61;239950
138773;58;43;53;394810
404219;85;43;53;139053
500000;63;49;50;500200
500000;51;39;56;335774
0;29;42;59;500200
483054;63;40;78;281348
0;40;34;54;500200
225274;60;35;52;500200
187438;49;36;83;399852
458432;46;34;52;200
361194;56;48;58;500200
500000;60;37;79;471623
84204;99;42;58;500200
408224;43;32;82;101754
189680;53;47;66;190051
54349;42;48;54;500200
0;91;36;97;327461
473068;50;41;50;500200
0;32;31;55;310247
351347;91;43;75;16116
364846;27;35;58;200
160334;77;32;75;436902
22970;83;42;55;449053
0;85;44;51;200
500000;59;33;82;500200
481772;22;43;72;105786
431837;48;36;79;105487
81736;30;30;69;500200
179794;86;35;54;296242
371835;53;48;79;184763
0;53;39;61;21421
66504;84;46;65;254184
135483;65;48;82;380504
470960;48;49;74;123522
500000;30;31;55;209594
352308;81;48;75;269163
58365;62;35;51;137163
0;83;43;72;11005
300852;88;41;69;455326
382479;65;39;65;428811
378336;82;49;76;115398
500000;56;41;96;200
0;51;46;76;500200
500000;35;33;75;349088
372971;96;44;66;465415
192392;58;34;61;200
500000;29;40;68;37587
815;28;38;61;51843
219675;88;49;68;87643
500000;96;49;51;181746
34983;99;39;60;208880
301464;44;42;77;153392
173701;65;42;93;200
500000;22;41;70;168011
247719;96;38;64;500200
142594;85;43;82;500200
254379;39;39;50;416973
215129;33;40;95;51809
81350;28;34;64;51089
500000;45;44;72;396506
437007;38;47;82;31925
464794;28;38;99;500200
39843;99;36;50;200
64831;26;40;59;200
500000;80;37;86;387665
0;41;37;67;399711
94824;20;33;83;200
0;90;49;67;500200
318468;43;30;57;132577
148080;81;43;92;200
0;44;38;99;463000
172863;56;38;59;364049
325951;48;49;86;213513
500000;27;33;75;200
215929;50;42;86;200
26982;56;41;87;364931
500000;77;44;78;425315
426278;62;38;59;239771
191529;45;30;57;9565
81512;29;46;69;355007
381788;68;33;97;200
154868;49;39;51;30435
247260;94;49;98;224830
163602;65;47;52;361875
97768;52;35;61;22737
0;23;36;61;500200
0;36;49;83;323231
343375;68;44;74;38546
286324;39;32;77;109720
226387;62;36;65;500200
500000;67;34;50;500200
467827;51;37;50;367411
500000;95;35;73;291935
0;88;30;79;394436
279227;30;48;76;160447
204125;35;38;83;68422
0;35;48;75;42294
0;58;48;50;252596
131513;95;33;78;225916
372966;91;32;74;280391
381799;62;43;58;200
500000;65;32;51;297793
167468;93;38;79;269827
199525;61;34;61;334545
0;90;42;70;19259
215504;87;49;53;85053
134997;57;31;81;217482
82942;38;39;91;500200
500000;72;36;73;110885
18662;38;39;63;366044
306137;39;39;59;399048
500000;25;30;80;500200
0;62;47;72;243001
0;72;41;90;400357
285059;84;48;81;400820
235251;51;30;62;500200
81311;85;42;62;89182
177160;78;49;79;331727
225005;37;30;82;15476
51116;75;44;54;329865
445713;96;40;57;390485
127358;57;39;90;130123
