Timestamp;Size;RAM;CPU;Duration
0;85;46;85;20
7;20;30;20;18
13;59;39;59;22
18;89;47;89;22
24;97;49;97;19
29;49;37;49;19
34;46;36;46;15
39;74;43;74;22
45;21;30;21;15
51;74;43;74;18
56;92;48;92;20
62;25;31;25;13
68;39;34;39;17
73;33;33;33;24
77;83;45;83;18
80;54;38;54;21
84;33;33;33;19
91;82;45;82;15
92;79;44;79;21
96;20;30;20;19
102;90;47;90;19
109;59;39;59;17
114;23;30;23;22
120;77;44;77;22
123;89;47;89;17
127;84;46;84;21
133;68;42;68;25
136;27;31;27;19
140;59;39;59;21
147;46;36;46;19
152;75;43;75;18
155;98;49;98;22
158;36;34;36;22
162;39;34;39;17
166;23;30;23;20
170;99;49;99;17
179;69;42;69;21
183;57;39;57;22
188;71;42;71;18
192;79;44;79;11
197;75;43;75;19
201;55;38;55;22
206;61;40;61;18
211;70;42;70;20
215;57;39;57;19
218;55;38;55;19
222;26;31;26;22
226;73;43;73;21
230;59;39;59;19
234;93;48;93;21
240;93;48;93;15
245;45;36;45;21
250;67;41;67;22
255;23;30;23;19
260;29;32;29;24
265;46;36;46;22
268;96;49;96;20
273;82;45;82;19
276;20;30;20;23
280;33;33;33;17
287;80;45;80;19
291;38;34;38;22
295;35;33;35;18
301;75;43;75;14
305;99;49;99;19
309;93;48;93;21
313;89;47;89;19
318;99;49;99;20
324;30;32;30;16
330;84;46;84;22
336;84;46;84;22
339;76;44;76;17
344;30;32;30;17
351;20;30;20;19
356;44;36;44;15
360;55;38;55;24
366;97;49;97;20
369;53;38;53;18
375;39;34;39;21
379;53;38;53;21
382;77;44;77;21
387;95;48;95;19
393;67;41;67;18
399;65;41;65;20
401;52;38;52;13
407;49;37;49;22
411;50;37;50;19
415;32;33;32;17
420;30;32;30;20
421;76;44;76;17
426;22;30;22;23
431;87;46;87;21
433;57;39;57;24
437;58;39;58;19
443;98;49;98;16
447;57;39;57;18
451;40;35;40;21
456;86;46;86;15
460;71;42;71;14
463;64;41;64;17
468;66;41;66;24
474;27;31;27;23
478;62;40;62;20
482;75;43;75;17
486;29;32;29;22
489;36;34;36;17
494;35;33;35;18
497;67;41;67;21
502;78;44;78;20
506;74;43;74;17
509;49;37;49;18
515;63;40;63;19
518;62;40;62;25
523;66;41;66;19
528;55;38;55;20
534;85;46;85;19
540;71;42;71;22
545;69;42;69;17
548;42;35;42;16
551;69;42;69;21
555;62;40;62;21
563;76;44;76;12
568;89;47;89;19
574;54;38;54;20
579;81;45;81;18
584;96;49;96;20
589;39;34;39;24
594;71;42;71;16
597;21;30;21;22
603;87;46;87;16
605;34;33;34;21
610;30;32;30;20
615;82;45;82;27
